time,user_name,user_color,message
2194,charzight,#A3A3A3,"buh"
2197,p53p,,"Justin missed lap 2 pod fraud"
2201,mellovrotv,#FF69B4,"and sat in the lap for 30s before exit to cantina"
2221,p53p,,"Didn't hit checkpoint, went backwards, then got stuck on a rock and had to reset the level."
2237,dannypic7,,"good thing tcs is a marathon not a sprint"
2259,mellovrotv,#FF69B4,"WiiSuper killed 3 there I believe"
2265,brickofett,#00C446,"Good droid kills there for jedi battle too"
2275,brickofett,#00C446,"Should be chillin"
2591,natestryker,#FF4500,"How can I see the seeding?"
2634,cragon76,,"@natestryker if you learn how the patterns look like"
2656,itsjared97,#FF0000,"!bracket"
2657,nightbot,#7C7CE1,"View the bracket here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0"
2711,edgxxrr,#FF69B4,"that boi justin is locked in now"
2743,wiisuper,#1E90FF,"my splits are jacked btw"
2769,edgxxrr,#FF69B4,"@WiiSuper insane comeback incoming goat"
2781,wiisuper,#1E90FF,"droid factory was messed up"
2913,mariofan043,#FF4500,"Hi WiiSuper hope you win glgl"
3195,charliegldmn,#DC4C0E,"back to all being in the same level"
3282,spicyedamame,#8A2BE2,"Another opport-"
3283,meggitz208,#9F3877,"comms ?"
3290,maxipants1,#9800FF,"did the comms fall out?"
3292,ondereh,#21D9D9,"EvanLeave"
3297,virtualflup,#8A2BE2,"why is this wiisuper guy in last"
3312,staunch82,#DAA520,"Buggin"
3327,carkoon,#9ACD32,"@virtualflup godfraud Smile"
3335,virtualflup,#8A2BE2,"he should save time"
3342,carkoon,#9ACD32,"you're right"
3356,carkoon,#9ACD32,"legoGambling"
3359,ondereh,#21D9D9,"why did he miss pod fraud? wouldn't it have been faster not to miss it?"
3368,virtualflup,#8A2BE2,"that’s what I’m saying"
3379,meggitz208,#9F3877,"no no this was for content"
3406,meggitz208,#9F3877,"give the wiisuper believers some anxiety"
3409,ondereh,#21D9D9,"i think the runners forgot to play episode 3, its not in order anymore so it shouldn't be valid"
3428,meggitz208,#9F3877,"why are they using 2 people thats cheating"
3434,carkoon,#9ACD32,"well they're throwing on purpose"
3441,carkoon,#9ACD32,"they're not going to episode 6"
3447,ondereh,#21D9D9,"they glitched!! thats cheating!!"
3451,carkoon,#9ACD32,"they could've finished the game by now"
3460,charzight,#A3A3A3,"did scynor go for god fraud?"
3463,tfresh2000,#8A2BE2,"it’s really funny because anytime I hear a noise from scynor’s room I immediately know which runner to watch"
3472,meggitz208,#9F3877,"peak"
3474,carkoon,#9ACD32,"@Charzight yeah, think he got half"
3483,tfresh2000,#8A2BE2,"he missed lap 3"
3488,virtualflup,#8A2BE2,"scynor has brickbench open this guy is a cheater"
3518,virtualflup,#8A2BE2,"only reason my glorious king wiisuper would be losing"
3526,tfresh2000,#8A2BE2,"shhhhh"
3530,tfresh2000,#8A2BE2,"scynor would never"
3532,tfresh2000,#8A2BE2,"I’ll go check"
3570,carkoon,#9ACD32,"me when discord"
3581,firmynator,#7C13FF,"normal e road house noises"
3633,charzight,#A3A3A3,"we need a sponser for Ladder leauge next year"
3656,meggitz208,#9F3877,"@Charzight arbys"
3662,ondereh,#21D9D9,"sponsored by stake, switch the stream to kick"
3664,carkoon,#9ACD32,"@meggitz208 american express"
3670,charzight,#A3A3A3,"@carkoon lmao"
3670,meggitz208,#9F3877,"IM DEAD"
3717,tfresh2000,#8A2BE2,"heard a couple desk slams there"
3724,brickofett,#00C446,"Lmao"
3736,carkoon,#9ACD32,"at least it's not 66 and sunny"
3738,ondereh,#21D9D9,"tfresh getting the 4d experience"
3750,firmynator,#7C13FF,"tfresh under said desk rn"
3762,firmynator,#7C13FF,"on that p2 controller"
