time,user_name,user_color,message
435,staunch82,#DAA520,"dropping 5 grand on chromaq 🗣️🗣️"
454,charliegldmn,#DC4C0E,"Anonymous blunder"
459,zacmuffin,#52FFFC,"This is a TRIPLE ELIMINATION match. Only one runner will make it to the second round of playins. Useful commands: !bracket !info !runners !youtube"
467,nogamesensetv,#FF69B4,"easy olive W here"
468,nogamesensetv,#FF69B4,"rap it up"
481,crashmdo,#0000FF,"Watch as Benny clutches it up"
484,nogamesensetv,#FF69B4,"wrap*"
525,charliegldmn,#DC4C0E,"🍎 🍏"
586,szzliy,#FF69B4,"I was worried I’d missed it"
645,charliegldmn,#DC4C0E,"Mfw technical difficulties scynorHate"
698,notek0,#0000FF,"let’s goooo"
746,eroadhouse,#2E8B57,"yoooo"
779,nogamesensetv,#FF69B4,"1 min paus"
788,calebspeedrunning,#008000,"gl to all runners!"
799,nogamesensetv,#FF69B4,"chroma has godlike mental tho"
802,zacmuffin,#52FFFC,"@ChessWiz I made you a moderator in youtube if you wanna just keep it open in case we get a rogue spammer"
803,nogamesensetv,#FF69B4,"omg this prediction"
829,calebspeedrunning,#008000,"All in"
838,gustative,#8A2BE2,"i got my boy apple winning"
841,gustative,#8A2BE2,"clutch up for me"
851,the_appleman_,#9ACD32,"gotchu king"
855,gustative,#8A2BE2,"legend"
857,nogamesensetv,#FF69B4,"javster?"
865,staunch82,#DAA520,"yooo"
870,charliegldmn,#DC4C0E,"@gustative lock in"
873,kwazrr_,#FF4500,"no, it's 3 am TrollDespair"
882,nogamesensetv,#FF69B4,"good morning @kwazrr_"
882,saber1658,#DAA520,"I have too much faith in everyone"
885,saber1658,#DAA520,"I can’t gamble"
929,charzight,#00D8FF,"Oh we are so back"
936,staunch82,#DAA520,"Zac definitely got Celtics knicks open in the corner"
954,frostxbytex,#1E90FF,"let’s go"
983,nogamesensetv,#FF69B4,"so sick"
990,frostxbytex,#1E90FF,"LMAOOO"
997,nogamesensetv,#FF69B4,"australia vs america"
1009,the_appleman_,#9ACD32,"au clears tbh"
1027,noob9ager,,"@The_AppleMan_ definitely no bias"
1048,eroadhouse,#2E8B57,"bricko jav p53 and core my goats"
1056,frostxbytex,#1E90FF,"kallyGreen"
1057,charzight,#00D8FF,"Give Core a raise"
1066,frostxbytex,#1E90FF,"I LOVE BRICKO"
1072,blagueur01,#008000,"50% raise granted"
1085,saber1658,#DAA520,"dock Cores pay"
1086,kwazrr_,#FF4500,"!predictions"
1086,nightbot,#7C7CE1,"View the prediction standings on the 'prediction standings' page here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0/edit?usp=sharing"
1098,core_competence,#0A50A1,"oh baby"
1100,greenbean_g,#9ACD32,"woah"
1100,garrisonlarrison,#0000FF,"go Benny 🇺🇸"
1131,kwazrr_,#FF4500,"Dance"
1136,saber1658,#DAA520,"GriddyGoose"
1137,charzight,#00D8FF,"DinoDance DinoDance DinoDance DinoDance"
1143,charliegldmn,#DC4C0E,"DinoDance DinoDance DinoDance"
1158,aidenmoment_,#00FF7F,"🔥🔥🔥🔥"
1160,frostxbytex,#1E90FF,"kallyGreen"
1165,nogamesensetv,#FF69B4,"bennymoon black screen gg"
1224,charliegldmn,#DC4C0E,"it’s always capture card bruh"
1227,revvylo,#B2D400,"17 raiders from Revvylo have joined! "
1239,nogamesensetv,#FF69B4,"Revvylo Pog"
1342,kwazrr_,#FF4500,"glglglgl"
1348,charliegldmn,#DC4C0E,"Zac is insider trading"
1350,charliegldmn,#DC4C0E,"ban him"
1357,nogamesensetv,#FF69B4,"appleman insane lead already what"
1413,dahamster1,#1E90FF,"what’s bennys address and IP?"
1431,charzight,#00D8FF,"is it me or is the brightness low on the screens"
1439,noob9ager,,"@Charzight its definitely low"
1443,pokefresh_,,"is the timer RTA?"
1460,dahamster1,#1E90FF,"yeah it’s all downhill from here"
1462,core_competence,#0A50A1,"yes, timer is RTA, the timing of each runner itself is loadless though"
1464,dahamster1,#1E90FF,"no more good levels"
1470,kwazrr_,#FF4500,"are we gonna see savecancels?"
1475,core_competence,#0A50A1,"timer on screen is more of an orientation"
1515,charliegldmn,#DC4C0E,"good stuff apple"
1517,core_competence,#0A50A1,"pog all 4 saves"
1519,biksel,#00ADCC,"pog all saves"
1520,c_a_l_a_m_a_r_i,,"Appleman applestans lessgooo"
1520,kwazrr_,#FF4500,"no penalties Pog"
1526,calebspeedrunning,#008000,"Are we supposed to hear game audio"
1555,charzight,#00D8FF,"noo Apple"
1570,charliegldmn,#DC4C0E,"sorry anon"
1578,charliegldmn,#DC4C0E,"apple FUCK"
1587,charliegldmn,#DC4C0E,"thanks anon"
